source_excel_row,structure_label,label,Evac,Modification,E_form,E_fermi,E_bg,VBM,CBM,Lix,3OS,3S,3Hdp,3Z,Z_surf,nelect,nelect_no_o,nelect_m_only,wtd_nelect,e_tot,tot_OS,tot_S,tot_Hdp,O_M1,O_M2,O_M3,BL_avg,M1_charge,M2_charge,M3_charge,avg_M_charge,O_charge,sum_qm-qo,total_LCE_charge,Vm,Vo,Vm-o,Eoxm,wtd_Vm,wtd_Vo,M1_chi,M2_chi,M3_chi,sum_chi,avg_chi,M1_bc_full,M1_bc_occ,M1_bc_unocc,M1_band_width,M1_occ_bw,M2_bc_full,M2_bc_occ,M2_bc_unocc,M2_band_width,M2_occ_bw,M3_bc_full,M3_bc_occ,M3_bc_unocc,M3_band_width,M3_occ_bw,O(p)_bc_full,O(p)_bc_occ,O(p)_bc_unocc,O(p)_cbm_diff,O(p)_band_width,O(p)_occ_bw,M1_t2g,M1_eg,M2_t2g,M2_eg,M3_t2g,M3_eg,M1_ion_e,M1_min_pol,M1_pol,M1_max_pol,M2_ion_e,M2_min_pol,M2_pol,M2_max_pol,M3_ion_e,M3_min_pol,M3_pol,M3_max_pol,avg_ion_e,M1_bin_evac,M2_bin_evac,M3_bin_evac,avg_bin_evac,M1_avg_intensity,M2_avg_intensity,M3_avg_intensity,LCE_avg_intensity,avg_val_full,avg_val_occ,avg_val_unocc,avg_band_width,avg_occ_bw,full_bc_diff,occ_bc_diff,M1_std_pot,M2_std_pot,M3_std_pot,avg_std_pot,elec_wtd_bc_occ,elec_wtd_bw_occ,int_wtd_bc_occ,int_wtd_bw_occ
228,Li1.00__P0Co-P1Ni-P2Co-P3Mn-P4Co-P5Co__P6Co-P7Mn-P8Ni,NiMnCo,3.49441782,1-3-7-8-Ni-Mn-Mn-Ni,-124.3481273,2.18237228,0,2.18237228,2.18237228,1,8.104321511,3.0820656,2.568181928,80,161,392.0000007,176.0000007,158.0000007,110.6000005,114.2895328,43.71046721,9.364526811,9.318300664,2.130152799,2.007362861,1.940232623,2.025916094,9.119,8.242,5.786,7.715666667,5.007,18.14,28.154,11.36891468,7.425471347,3.94344333,56.92415579,3.946240756,2.452010235,1.53,1.56,1.89,4.98,1.66,-2.339010807,-3.069107427,1.41088926,2.713316127,2.331198153,-1.956081645,-2.799698823,0.525090508,2.826923543,2.797204955,-1.844190167,-4.376731207,1.007595559,3.553448951,3.106943523,-3.747658847,-4.684991505,2.073634791,5.930031127,2.928747512,1.696476629,4.646820539,3.534384804,3.897972377,3.384103621,2.85620324,2.144492249,7.639878,46,49,52,7.88101,51,55,59,7.434038,59,68,77,7.651642,2.02617786,2.48314856,3.28671184,2.59867942,0.796897436,0.374483846,0.716736667,0.62937265,-2.046427539,-3.415179152,0.981191776,3.03122954,2.745115544,1.701231308,1.269812353,-0.257,-0.28,-1.185,-0.574,-3.246174719,2.666426802,-3.512052604,2.71810045
230,Li1.00__P0Co-P1Mn-P2Co-P3Ni-P4Co-P5Co__P6Co-P7Mn-P8Ni,NiMnCo,3.641819415,1-3-7-8-Mn-Ni-Mn-Ni,-124.0570668,2.38651336,0,2.38651336,2.38651336,1,9.03379277,2.607508447,2.173442779,80,161,392.0000069,176.0000069,158.0000069,110.6000048,108.2752548,49.7247452,11.03132287,11.22684448,1.936171092,2.018221861,2.098888459,2.017760471,5.78,8.267,9.162,7.736333333,5.008,18.201,28.217,11.44662101,7.453965324,3.992655683,57.324678,4.01189367,2.456623089,1.89,1.56,1.53,4.98,1.66,-2.018821358,-5.256668016,2.728413823,4.92045208,3.44279978,-2.072148612,-2.927847511,0.478959526,2.870664476,2.822773011,-1.63990712,-2.176906267,0.577570341,2.357389118,2.30196113,-4.17333123,-5.141504406,2.556886105,6.55984459,3.155797531,1.729983115,2.239340059,1.792412766,3.894672591,3.389137452,4.46161461,3.366138624,7.434038,59,68,77,7.88101,51,55,59,7.639878,46,49,52,7.651642,3.28671184,2.48314856,2.02617786,2.59867942,0.5668112,0.362489067,0.2884896,0.405929956,-1.910292363,-3.453807265,1.261647897,3.382835225,2.85584464,2.263038866,1.687697141,-1.185,-0.28,-0.257,-0.574,-3.006171449,2.700964835,-3.833884617,2.987981567
231,Li1.00__P0Co-P1Ni-P2Co-P3Mn-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiMnCo,3.494003965,1-2-3-7-8-Ni-Co-Mn-Ni-Mn,-124.2278831,2.57918555,0.0284,2.5573,2.5857,1,7.779571603,3.441634354,1.926640846,80,161,392.0000022,176.0000022,158.0000022,110.6000015,113.4942663,44.50573374,12.86864581,10.07170706,2.141608184,2.009473883,1.939942618,2.030341562,9.151,8.247,5.797,7.731666667,5.007,18.188,28.202,11.36524918,7.41066383,3.954585347,56.90580263,3.946704928,2.443511041,1.53,1.56,1.89,4.98,1.66,-1.73807454,-2.276816227,1.091209034,2.412326884,2.252321606,-1.764553312,-2.656513262,0.728108042,2.834761019,2.797457038,-1.597482155,-4.330130777,1.183735861,3.541136362,3.028200974,-3.568758475,-4.416424424,1.916537839,6.154458475,2.745633783,1.694042681,4.660580345,3.53903788,3.815663448,3.372667498,2.700720745,2.057488741,7.639878,46,49,52,7.88101,51,55,59,7.434038,59,68,77,7.651642,2.02617786,2.48314856,3.28671184,2.59867942,0.357112531,0.368162907,0.442626817,0.389300752,-1.700036669,-3.087820089,1.001017646,2.929408088,2.692659873,1.868721806,1.328604336,-0.257,-0.28,-1.185,-0.574,-2.837451268,2.608852191,-3.174701682,2.718219893
232,Li1.00__P0Co-P1Ni-P2Co-P3Al-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoAl,3.540283275,1-2-3-7-8-Ni-Co-Al-Ni-Mn,-130.3335007,2.22139236,0.0278,2.2019,2.2297,1,7.012152009,0.841611343,1.092408228,68,149,384.0000024,168.0000024,150.0000024,105.0000017,107.0531536,42.94684637,5.647617145,7.807925847,2.137994361,1.991246279,1.921916451,2.017052364,9.25,8.261,0.724,6.078333333,5.041,13.194,23.276,8.851850171,7.51230041,1.339549761,44.62217671,4.073595719,2.445432435,1.53,1.56,1.83,4.92,1.64,-2.846167208,-3.360661227,0.631223094,2.604185972,2.366141534,-0.952459306,-1.948469812,1.392307485,2.889476746,2.902101354,-4.836476494,-6.623937703,6.430727096,6.694766825,5.292297553,-3.134311895,-3.814760299,2.992814063,5.364011895,2.718056409,1.681997361,4.938119608,3.646460345,3.608889167,3.22235417,0,0,7.639878,46,49,52,7.88101,51,55,59,5.985769,56.8,57.8,58.8,7.168885667,2.02617786,2.48314856,6.91638435,3.808570257,0.895848312,0.340402078,0.038568616,0.424939669,-2.878367669,-3.977689581,2.818085892,4.062809848,3.520180147,0.255944226,-0.162929281,-0.257,-0.28,-1.676,-0.737666667,-2.89219612,2.728159009,-3.082305764,2.597781965
233,Li1.00__P0Co-P1Ni-P2Co-P3Fe-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoFe,3.75976894,1-2-3-7-8-Ni-Co-Fe-Ni-Mn,-121.4823605,2.36570174,0,2.36570174,2.36570174,1,7.10563174,1.935894567,2.016102316,81,162,394.0000007,178.0000007,160.0000007,112.0000005,116.4441571,43.55584292,10.05306032,9.949777918,2.124898953,1.98995878,1.933567129,2.016141621,9.195,8.269,7.361,8.275,5.006,19.819,29.831,12.28958047,7.460503989,4.82907648,61.52163983,4.127073155,2.472744406,1.53,1.56,1.61,4.7,1.566666667,-2.080980638,-2.633809643,0.92888621,2.511023417,2.335464234,-1.551054578,-2.467397849,0.954619782,2.882436865,2.856282273,-1.928922941,-3.463574622,1.15949508,3.430717623,3.210402275,-3.507914073,-4.278096261,1.818536726,5.873615813,2.656125187,1.743464158,4.710954343,3.558806254,3.785361751,3.359919985,3.282835736,3.211583189,7.639878,46,49,52,7.88101,51,55,59,7.9024681,58,62,66,7.807785367,2.02617786,2.48314856,3.778409415,2.762578612,0.414258374,0.353539163,0.547739409,0.438512315,-1.853652719,-2.854927371,1.014333691,2.941392635,2.80071626,1.654261355,1.42316889,-0.257,-0.28,-0.447,-0.328,-2.806365859,2.748003799,-2.934570404,2.839720401
235,Li1.00__P0Co-P1Ni-P2Al-P3Co-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoAl,3.580463415,1-2-3-7-8-Ni-Al-Co-Ni-Mn,-131.0477994,2.51779549,0,2.51779549,2.51779549,1,6.945956778,0.728304756,0.982688375,68,149,384.0000022,168.0000022,150.0000022,105.0000015,106.1433838,43.85661624,5.177802641,8.432829214,2.149014602,1.930066633,1.958580496,2.01255391,9.249,0.694,8.355,6.099333333,5.043,13.255,23.341,8.929250679,7.53434405,1.394906629,45.03021118,4.117334418,2.461260813,1.53,1.83,1.56,4.92,1.64,-2.170187646,-2.768239753,0.640149557,2.576282029,2.421799772,-4.715606215,-6.999378783,6.621415426,6.952396487,5.126719857,-1.694572853,-2.636030909,1.069962508,2.955249766,2.842159748,-3.343455016,-4.133755968,2.929521197,5.861250506,2.874132965,1.68303258,4.590006347,3.509042027,0,0,3.917178541,3.378467969,7.639878,46,49,52,5.985769,56.8,57.8,58.8,7.88101,51,55,59,7.168885667,2.02617786,6.91638435,2.48314856,3.808570257,0.443218667,0.036916,0.4077496,0.295961422,-2.860122238,-4.134549815,2.77717583,4.161309427,3.463559792,0.483332778,-0.000793847,-0.257,-1.676,-0.28,-0.737666667,-2.888091007,2.72595053,-2.883444661,2.727308555
236,Li1.00__P0Co-P1Ni-P2Fe-P3Co-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoFe,3.771824655,1-2-3-7-8-Ni-Fe-Co-Ni-Mn,-121.6649324,2.4190854,0.0224,2.4156,2.438,1,7.498488567,2.494419878,1.552038494,81,162,394.0000032,178.0000032,160.0000032,112.0000022,114.8242253,45.17577466,11.61783009,10.62620642,2.129701569,1.964485656,1.953694971,2.015960732,9.209,7.274,8.351,8.278,5.006,19.828,29.84,12.301295,7.461138033,4.840156964,61.58028275,4.148365393,2.473268641,1.53,1.61,1.56,4.7,1.566666667,-2.090388256,-2.644105576,0.895903026,2.521435723,2.346837873,-1.392042184,-3.174067104,1.087546992,3.246627366,3.184583767,-1.471170606,-2.434862792,1.179704053,2.967518726,2.906709317,-3.417157194,-4.235163162,2.053994968,5.855157194,2.725060341,1.710618013,4.696026384,3.575701676,3.265277129,2.35820665,3.828165462,3.330682996,7.639878,46,49,52,7.9024681,58,62,66,7.88101,51,55,59,7.807785367,2.02617786,3.778409415,2.48314856,2.762578612,0.439236294,0.412011929,0.375700254,0.408982826,-1.651200349,-2.751011824,1.05438469,2.911860605,2.812710319,1.765956845,1.484151338,-0.257,-0.447,-0.28,-0.328,-2.707028974,2.751263173,-2.757996181,2.799591314
238,Li1.00__P0Co-P1Co-P2Ni-P3Al-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoAl,4.34761387,1-2-3-7-8-Co-Ni-Al-Ni-Mn,-130.5297227,2.34232682,0,2.34232682,2.34232682,1,6.17563431,0.258988845,1.027453984,68,149,383.9999998,167.9999998,149.9999998,104.9999999,105.7367082,44.26329185,6.831836426,8.329820593,1.981079817,2.034804862,1.937309599,1.984398093,8.336,9.173,0.721,6.076666667,5.035,13.195,23.265,9.088020826,7.614947063,1.473073763,45.75818486,4.207449825,2.508179481,1.56,1.53,1.83,4.92,1.64,-1.344849065,-2.308953838,1.292977706,2.968214093,2.898931197,-2.563027918,-2.845772753,0.596272253,2.462519709,2.345621227,-4.326333345,-6.770369735,6.751676298,7.109197954,5.287395616,-3.4800136,-4.257409256,3.225280365,5.82234042,2.970657517,1.765257369,3.826311559,3.331482083,5.293161201,3.738669414,0,0,7.88101,51,55,59,7.639878,46,49,52,5.985769,56.8,57.8,58.8,7.168885667,2.48314856,2.02617786,6.91638435,3.808570257,0.369145789,0.573652105,0.037798619,0.326865505,-2.744736776,-3.975032109,2.880308752,4.179977252,3.510649347,0.735276824,0.282377147,-0.28,-0.257,-1.676,-0.737666667,-2.781799531,2.703976598,-2.794966846,2.66731017
239,Li1.00__P0Co-P1Co-P2Ni-P3Fe-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoFe,3.84711508,1-2-3-7-8-Co-Ni-Fe-Ni-Mn,-121.7835222,2.30790938,0.0057,2.3035,2.3092,1,7.627781201,2.177783256,1.167476412,81,162,393.999999,177.999999,159.999999,111.9999993,117.5781884,42.42181162,8.295461552,8.574485507,1.97636718,2.088534246,1.961578598,2.008826674,8.329,9.106,7.334,8.256333333,5.007,19.762,29.776,12.31311887,7.483347228,4.829771644,61.65178619,4.136729466,2.484595328,1.56,1.53,1.61,4.7,1.566666667,-1.553267984,-2.48664547,1.074552092,2.917112092,2.853343125,-1.776271942,-2.269862201,0.300209539,2.200273762,2.162335748,-1.25205656,-3.148587609,1.220205605,3.289961893,3.231960075,-3.444180355,-4.318479282,1.898629481,5.753380355,2.731530529,1.653565844,3.859131833,3.344248749,4.34795062,3.535962442,3.050679563,2.402044684,7.88101,51,55,59,7.639878,46,49,52,7.9024681,58,62,66,7.807785367,2.48314856,2.02617786,3.778409415,2.762578612,0.377333915,0.355576808,0.388672569,0.373861097,-1.527198829,-2.63503176,0.864989079,2.802449249,2.749212983,1.916981526,1.683447521,-0.28,-0.257,-0.447,-0.328,-2.570826425,2.677538651,-2.647307322,2.765477894
241,Li1.00__P0Co-P1Co-P2Al-P3Ni-P4Co-P5Co__P6Co-P7Ni-P8Mn,NiCoAl,3.99393756,1-2-3-7-8-Co-Al-Ni-Ni-Mn,-130.915962,2.58664984,0,2.58664984,2.58664984,1,6.607955108,0.618779766,1.214583232,68,149,384.0000011,168.0000011,150.0000011,105.0000008,106.9311918,43.06880821,8.088894324,8.199926848,1.985451943,1.932831491,2.071656004,1.996646479,8.346,0.695,9.276,6.105666667,5.034,13.283,23.351,9.040730385,7.569852141,1.470878244,45.51103676,4.185677135,2.482483615,1.56,1.83,1.53,4.92,1.64,-1.755566648,-2.702125797,0.92371348,2.966257562,2.887061128,-4.333590823,-7.214822194,6.691822895,7.293857285,5.129940879,-2.621809101,-3.013991337,0.535451593,2.580441907,2.445250581,-3.732143801,-4.540860925,2.87044202,6.318793641,2.96687031,1.727801486,3.851722028,3.371608515,0,0,5.118752434,3.626152892,7.88101,51,55,59,5.985769,56.8,57.8,58.8,7.639878,46,49,52,7.168885667,2.48314856,6.91638435,2.02617786,3.808570257,0.375465707,0.036990963,0.499498168,0.303984946,-2.903655524,-4.310313109,2.716995989,4.280185584,3.487417529,0.828488278,0.230547816,-0.28,-1.676,-0.257,-0.737666667,-3.055018418,2.746617744,-3.055986796,2.736047863
